# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8849		3576		2940
1		8138		6370		3064
2		7695		8707		3084
3		7323		10729		3146
4		7037		12653		3157
5		6843		14400		3146
6		6656		15987		3167
7		6562		17448		3148
8		6410		18939		3192
9		6340		20319		3164
10		6235		21628		3185
11		6138		22841		3181
12		6030		24121		3163
13		5976		25270		3214
14		5835		26386		3188
15		5762		27428		3198
16		5747		28396		3209
17		5655		29375		3196
18		5551		30299		3230
19		5549		31180		3220
20		5491		32062		3206
21		5444		32930		3211
22		5410		33788		3261
23		5420		34624		3245
24		5384		35482		3272
25		5352		36331		3241
26		5349		37172		3263
27		5245		38023		3222
28		5183		38778		3253
29		5177		39512		3255
30		5121		40254		3247
31		5080		40899		3258
32		5032		41567		3260
33		5015		42187		3259
34		5028		42834		3264
35		5000		43468		3265
36		5007		44094		3264
37		4981		44750		3250
38		4985		45403		3250
39		4964		46002		3234
40		4960		46687		3243
41		5006		47343		3231
42		4988		47993		3264
43		4962		48637		3238
44		4928		49297		3265
45		4914		49877		3253
46		4887		50470		3251
47		4914		51105		3259
48		4897		51746		3259
49		4871		52344		3265
50		4846		52916		3254
51		4802		53531		3268
52		4781		54089		3260
53		4789		54621		3257
54		4801		55140		3269
55		4795		55681		3262
56		4780		56218		3266
57		4721		56740		3259
58		4689		57240		3276
59		4694		57750		3274
60		4713		58259		3266
61		4707		58783		3278
62		4700		59283		3260
63		4663		59783		3284
64		4673		60267		3277
65		4667		60768		3299
66		4624		61226		3297
67		4633		61686		3286
68		4625		62138		3285
69		4628		62599		3308
70		4617		63046		3281
71		4590		63458		3278
72		4603		63867		3280
73		4607		64305		3277
74		4607		64776		3268
75		4539		65219		3303
76		4532		65622		3278
77		4523		66053		3281
78		4498		66446		3272
79		4542		66888		3305
80		4521		67363		3307
81		4526		67810		3297
82		4472		68222		3302
83		4468		68624		3305
84		4456		69060		3303
85		4437		69467		3306
86		4413		69855		3291
87		4393		70226		3313
88		4388		70607		3299
89		4347		70986		3308
90		4323		71331		3294
91		4309		71659		3301
92		4330		71979		3310
93		4338		72323		3297
94		4326		72640		3301
95		4325		72955		3302
96		4316		73279		3311
97		4296		73583		3314
98		4296		73912		3332
99		4306		74239		3317
100		4287		74513		3306
101		4305		74833		3311
102		4301		75139		3308
103		4290		75480		3299
104		4299		75811		3315
105		4304		76130		3303
106		4301		76459		3313
107		4285		76809		3292
108		4305		77170		3291
109		4294		77502		3280
110		4290		77867		3296
111		4283		78203		3309
112		4271		78521		3303
113		4266		78830		3315
114		4272		79132		3300
115		4264		79481		3304
116		4268		79778		3310
117		4247		80093		3295
118		4226		80395		3316
119		4220		80674		3299
120		4213		80970		3312
121		4212		81255		3301
122		4196		81530		3288
123		4196		81805		3302
124		4211		82111		3299
125		4197		82409		3282
126		4222		82661		3296
127		4201		82952		3280
128		4210		83231		3288
129		4185		83527		3283
130		4202		83829		3271
131		4203		84121		3290
132		4207		84424		3293
133		4213		84724		3289
134		4216		85046		3290
135		4196		85364		3295
136		4191		85684		3288
137		4175		85980		3277
138		4171		86268		3278
139		4162		86578		3275
140		4134		86884		3292
141		4123		87141		3287
142		4150		87383		3284
143		4145		87625		3284
144		4149		87885		3307
145		4141		88133		3293
146		4113		88395		3291
147		4102		88641		3298
148		4099		88876		3289
149		4079		89127		3289
150		4095		89380		3292
151		4083		89627		3283
152		4103		89862		3290
153		4096		90084		3292
154		4127		90341		3301
155		4098		90595		3308
156		4092		90833		3289
157		4093		91037		3290
158		4076		91272		3309
159		4054		91462		3297
160		4056		91669		3294
161		4054		91867		3292
162		4050		92061		3313
163		4042		92229		3292
164		4057		92430		3309
165		4042		92629		3300
166		4038		92821		3294
167		4051		93006		3296
168		4062		93214		3300
169		4065		93430		3309
170		4056		93661		3296
171		4073		93877		3299
172		4074		94090		3288
173		4072		94317		3311
174		4045		94548		3295
175		4053		94752		3294
176		4026		94953		3297
177		4048		95184		3302
178		4045		95396		3283
179		4038		95604		3298
180		4056		95824		3301
181		4051		96032		3294
182		4049		96231		3299
183		4029		96435		3302
184		4018		96643		3295
185		3997		96862		3309
186		4020		97050		3291
187		4018		97267		3310
188		4020		97480		3288
189		4004		97682		3293
190		3984		97894		3298
191		4002		98094		3308
192		3990		98297		3316
193		4012		98532		3294
194		3984		98724		3304
195		3977		98918		3288
196		3987		99099		3289
197		3999		99285		3304
198		3998		99517		3306
199		3992		99722		3293
200		3979		99936		3298
201		3985		100149		3294
202		3985		100386		3303
203		3955		100582		3289
204		3955		100780		3291
205		3974		100994		3289
206		3950		101186		3292
207		3951		101392		3303
208		3945		101598		3287
209		3942		101801		3288
210		3933		101989		3290
211		3919		102162		3293
212		3924		102310		3292
213		3928		102473		3285
214		3921		102658		3297
215		3920		102847		3283
216		3916		103024		3298
217		3894		103173		3298
218		3919		103335		3297
219		3919		103511		3293
220		3902		103680		3299
221		3921		103851		3319
222		3918		104036		3291
223		3905		104190		3292
224		3907		104364		3292
225		3909		104547		3299
226		3903		104690		3292
227		3902		104840		3302
228		3889		105009		3313
229		3879		105149		3300
230		3860		105281		3296
231		3848		105417		3296
232		3859		105544		3299
233		3861		105676		3299
234		3859		105791		3309
235		3857		105908		3298
236		3858		106053		3295
237		3861		106200		3295
238		3859		106343		3303
239		3858		106486		3300
240		3866		106624		3306
241		3850		106744		3287
242		3858		106875		3292
243		3846		107005		3291
244		3856		107146		3297
245		3864		107288		3292
246		3857		107412		3310
247		3855		107541		3295
248		3850		107676		3296
249		3863		107825		3281
250		3865		107950		3300
251		3863		108078		3297
252		3857		108213		3292
253		3858		108364		3309
254		3869		108488		3295
255		3871		108613		3299
256		3870		108747		3300
257		3874		108887		3310
258		3878		109057		3293
259		3879		109206		3295
260		3900		109370		3297
261		3890		109536		3291
262		3870		109689		3289
263		3863		109840		3289
264		3872		109988		3298
265		3864		110146		3295
266		3865		110275		3295
267		3875		110427		3308
268		3868		110589		3313
269		3873		110722		3300
270		3853		110862		3318
271		3857		110987		3317
272		3863		111126		3309
